close_time,symbol,side,strategy,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct,ema50_dist_pct,ema200_dist_pct,btc_corr_4c,volume_ratio,side_int,hold_hours,funding_rate,oi_change_pct,hour_of_day,day_of_week,fear_greed,btc_dominance,market_regime,bb_position,macd_hist_norm,consec_candles,news_sentiment
2025-07-23T20:00:00+00:00,SOL/USDT,LONG,V12_Original_4H,SL,192.72,184.310934,206.399,-9.0059,-4.3634,419.54,2025-07-23T12:00:00+00:00,45.58,52.43,0.02909,4.627,14.315,0.5118,1.797,1,8.0,0.0,0.0,0.522,0.333,50.0,55.0,0.0,0.5362,1,-4.0,0.0
2025-07-23T20:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,SL,0.24971,0.233115,87.0746,-5.7867,-6.6457,500.82,2025-07-23T12:00:00+00:00,39.61,44.78,0.0443,2.398,18.009,0.5118,1.691,1,8.0,0.0,0.0,0.522,0.333,50.0,55.0,0.0,0.9805,1,-4.0,0.0
2025-07-23T20:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,SL,3.1838,3.035022,74.0478,-3.4602,-4.673,571.41,2025-07-23T16:00:00+00:00,33.33,31.41,0.03115,-4.176,13.118,0.4999,1.802,1,4.0,0.0,0.0,0.696,0.333,50.0,55.0,-1.0,1.3277,1,-5.0,0.0
2025-07-24T04:00:00+00:00,LINK/USDT,LONG,V12_Original_4H,SL,18.5,17.526422,154.7993,-8.1464,-5.2626,387.72,2025-07-23T12:00:00+00:00,32.42,44.74,0.03508,1.641,15.035,0.5118,1.762,1,16.0,0.0,0.0,0.522,0.333,50.0,55.0,0.0,1.1299,1,-4.0,0.0
2025-07-24T04:00:00+00:00,AVAX/USDT,LONG,V12_Original_4H,SL,24.36,23.126036,116.0995,-5.8811,-5.0655,497.94,2025-07-23T12:00:00+00:00,34.92,44.61,0.03377,1.254,12.765,0.5118,2.145,1,16.0,0.0,0.0,0.522,0.333,50.0,55.0,0.0,1.109,1,-4.0,0.0
2025-07-24T04:00:00+00:00,SOL/USDT,LONG,V12_Original_4H,SL,189.4,180.828408,142.853,-6.465,-4.5257,634.32,2025-07-23T20:00:00+00:00,39.74,48.04,0.03017,2.754,12.566,0.5248,0.856,1,8.0,0.0,0.0,0.87,0.333,50.0,55.0,0.0,0.6943,1,1.0,0.0
2025-07-24T04:00:00+00:00,DOGE/USDT,LONG,V12_Original_4H,SL,0.24083,0.223818,107.1397,-7.5684,-7.064,733.89,2025-07-23T20:00:00+00:00,38.09,39.43,0.04709,-1.13,14.684,0.5248,0.947,1,8.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,1.0601,1,-6.0,0.0
2025-07-24T04:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,SL,3.1838,3.024638,80.3548,-4.017,-4.9991,810.23,2025-07-23T20:00:00+00:00,34.49,31.41,0.03333,-4.012,12.988,0.5248,2.479,1,8.0,0.0,0.0,0.87,0.333,50.0,55.0,-1.0,1.1311,1,-6.0,0.0
2025-07-25T00:00:00+00:00,ETH/USDT,LONG,V12_Original_4H,SL,3587.75,3591.33775,98.7304,0.0987,0.1,291.1,2025-07-23T16:00:00+00:00,28.06,42.68,0.02315,1.586,16.319,0.4999,1.152,1,32.0,0.0,0.0,0.696,0.333,50.0,55.0,0.0,1.0967,1,-5.0,0.0
2025-07-25T00:00:00+00:00,XRP/USDT,LONG,V12_Original_4H,SL,3.075,3.078075,64.0907,0.0641,0.1,355.26,2025-07-24T04:00:00+00:00,36.85,26.82,0.03723,-7.244,9.675,0.4993,2.051,1,20.0,0.0,0.0,0.174,0.5,50.0,55.0,-1.0,1.0839,0.3234,-1.0,0.0
2025-07-26T00:00:00+00:00,SOL/USDT,LONG,V12_Original_4H,TIMEOUT,184.21,185.97,202.5582,1.9353,0.9554,404.32,2025-07-24T04:00:00+00:00,35.99,41.49,0.0322,-0.102,9.872,0.4993,1.133,1,44.0,0.0,0.0,0.174,0.5,50.0,55.0,-1.0,0.9701,1,-1.0,0.0
