close_time,symbol,side,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct
2026-03-25T02:01:08.132349+00:00,ETH/USDT,LONG,SL,2165.37,2155.822140259902,94.0307,-0.4146,-0.44,619.92,2026-03-25T00:45:17.651124+00:00,40.2,69.2,0.00441
2026-03-25T03:09:47.132124+00:00,PEPE/USDT,SHORT,SL,3.52e-06,3.5059164800124643e-06,86.2775,0.3452,0.4,613.55,2026-03-25T01:30:06.974995+00:00,32.5,53.1,0.008
2026-03-25T03:28:37.478545+00:00,DOGE/USDT,SHORT,SL,0.09496,0.0947459297002159,87.4689,0.1972,0.23,609.19,2026-03-25T01:07:49.825923+00:00,36.2,54.4,0.00451
2026-03-25T03:30:45.900760+00:00,NEAR/USDT,SHORT,SL,1.296,1.292937988657048,109.2672,0.2582,0.24,627.33,2026-03-25T01:42:08.941485+00:00,20.4,49.1,0.00473
2026-03-25T03:30:46.176075+00:00,BTC/USDT,SHORT,SL,70661.26,70625.92937,92.8771,0.0464,0.05,720.26,2026-03-25T02:00:06.459020+00:00,37.2,53.2,0.00362
2026-03-25T03:30:46.451484+00:00,ETH/USDT,SHORT,SL,2155.66,2154.58217,92.988,0.0465,0.05,813.29,2026-03-25T02:01:09.549467+00:00,38.4,49.6,0.00409
2026-03-25T03:37:37.474262+00:00,SUI/USDT,SHORT,SL,0.9464,0.9503309170626414,91.3781,-0.3795,-0.42,590.46,2026-03-25T03:28:40.455491+00:00,36.1,26.6,0.00415
2026-03-25T03:43:24.849063+00:00,DOGE/USDT,LONG,SL,0.09508,0.09512754,121.9939,0.061,0.05,623.95,2026-03-25T03:30:48.236204+00:00,27.2,51.2,0.00383
2026-03-25T03:46:34.636234+00:00,SOL/USDT,SHORT,SL,90.91,91.30583959355776,92.0332,-0.4007,-0.44,621.99,2026-03-25T03:09:48.275352+00:00,35.7,52.4,0.00435
2026-03-25T03:56:33.271954+00:00,SUI/USDT,SHORT,SL,0.9507,0.9546266754192431,88.5693,-0.3658,-0.41,616.89,2026-03-25T03:37:40.485144+00:00,24.9,37.6,0.00413
2026-03-25T03:59:41.610226+00:00,PEPE/USDT,LONG,SL,3.51e-06,3.5224734969215313e-06,88.1406,0.3132,0.36,612.81,2026-03-25T03:30:50.257304+00:00,22.1,50.5,0.00711
2026-03-25T04:20:08.393083+00:00,DOGE/USDT,LONG,SL,0.09512,0.09516755999999998,93.5921,0.0468,0.05,614.53,2026-03-25T03:43:26.910071+00:00,27.2,51.2,0.00383
2026-03-25T04:22:15.761450+00:00,SOL/USDT,LONG,SL,91.66,91.70582999999999,91.922,0.046,0.05,614.32,2026-03-25T03:59:42.733938+00:00,34.2,55.7,0.00404
2026-03-25T04:32:44.942095+00:00,BTC/USDT,LONG,SL,70779.3,70814.68965,93.2982,0.0466,0.05,615.52,2026-03-25T03:46:36.038831+00:00,36.5,60.8,0.00326
2026-03-25T04:43:18.691298+00:00,ADA/USDT,LONG,SL,0.2682,0.267047763005659,92.1478,-0.3959,-0.43,614.94,2026-03-25T04:22:17.582686+00:00,28.9,67.0,0.0043
2026-03-25T04:47:41.724099+00:00,ETH/USDT,LONG,SL,2159.5,2160.57975,92.534,0.0463,0.05,615.28,2026-03-25T03:56:34.122472+00:00,34.5,54.2,0.00354
2026-03-25T04:52:26.051951+00:00,WIF/USDT,LONG,SL,0.192,0.192096,92.3273,0.0462,0.05,615.36,2026-03-25T04:32:50.221003+00:00,12.7,56.7,0.00809
2026-03-25T04:57:10.639678+00:00,DOGE/USDT,SHORT,SL,0.09506,0.0953834077472225,92.241,-0.3138,-0.34,614.98,2026-03-25T04:45:04.137951+00:00,25.8,51.5,0.0034
2026-03-25T04:57:43.303829+00:00,LINK/USDT,SHORT,SL,9.23,9.267503113412465,92.2919,-0.375,-0.41,614.65,2026-03-25T04:47:44.106085+00:00,31.8,47.8,0.00406
2026-03-25T04:58:15.712084+00:00,NEAR/USDT,SHORT,SL,1.294,1.2933530000000002,103.6948,0.0518,0.05,626.2,2026-03-25T03:30:49.960226+00:00,12.8,43.7,0.00431
2026-03-25T05:04:43.741532+00:00,DOGE/USDT,SHORT,SL,0.09544,0.09576340774722249,92.2476,-0.3126,-0.34,624.21,2026-03-25T04:57:12.443268+00:00,25.8,51.5,0.00339
2026-03-25T05:05:47.811012+00:00,LINK/USDT,SHORT,SL,9.27,9.265365000000001,92.198,0.0461,0.05,622.82,2026-03-25T04:57:45.417562+00:00,31.8,47.8,0.00405
2026-03-25T05:06:20.480610+00:00,ADA/USDT,SHORT,SL,0.2672,0.26831931851418284,92.3041,-0.3867,-0.42,621.31,2026-03-25T04:52:28.189379+00:00,34.5,45.9,0.00419
2026-03-25T05:06:21.033884+00:00,DOGE/USDT,LONG,TP,0.09582,0.09634114260799478,93.631,0.5092,0.54,715.45,2026-03-25T05:04:45.566379+00:00,15.0,69.3,0.00363
2026-03-25T05:07:56.237815+00:00,XRP/USDT,LONG,TP,1.415,1.421380817098247,92.1795,0.4157,0.45,609.51,2026-03-25T04:20:09.515163+00:00,21.7,57.7,0.00301
2026-03-25T05:08:28.888647+00:00,NEAR/USDT,LONG,TP,1.295,1.3024116167655535,93.9303,0.5376,0.57,612.55,2026-03-25T05:00:33.119238+00:00,12.7,56.4,0.00382
2026-03-25T05:08:29.165682+00:00,LINK/USDT,LONG,TP,9.27,9.327376274644397,93.423,0.5782,0.62,706.55,2026-03-25T05:05:49.905999+00:00,17.7,64.2,0.00413
